outbreak,outbreak_day,outbreak_day_av,outbreak_day_md,outbreak_day_sd,outbreak_prob,control_prob,contained_prob,iq_factor,iq_compliance,cluster_size,poisson_lambda,num_tests,label,beta,first_case_day,first_case_day_av,first_case_day_md,first_case_day_sd,first_case_inf,first_case_inf_av,first_case_inf_md,first_case_inf_sd,resurgence,resurgence_day,resurgence_day_av,resurgence_day_md,resurgence_day_sd,resurgence_prob,resurgence_control_prob,resurgence_contained_prob
True,7,7.01,7,1.1865496196957,100,0,0,0.8,0.2,39,0,10460,cluster,0.0192,3,2.68,3,0.607947366142827,10,8.614,8,5.80783987382572,True,4,2.73413897280967,3,0.620084041360688,99.3000000000001,0.7,0
True,7,6.846,7,1.14467637347855,100,0,0,0.8,0.2,40,0,10460,cluster,0.0192,3,2.64,3,0.65299310869258,11,8.947,8,6.02927781745045,True,4,2.69838056680162,3,0.62026947332702,98.8000000000001,1.2,0
True,7,6.789,7,1.07446684453267,100,0,0,0.8,0.2,41,0,10460,cluster,0.0192,3,2.636,3,0.620889684243505,11,9.085,8,6.2279832209151,True,4,2.6056338028169,3,0.599638095670129,99.4000000000001,0.6,0
True,6,6.619,6,1.07509953027615,100,0,0,0.8,0.2,42,0,10460,cluster,0.0192,3,2.597,3,0.616920578356728,11,8.827,8,6.19298562891922,True,4,2.65485829959514,3,0.596299893440328,98.8000000000001,1.2,0
True,6,6.514,6,1.0028978013736,100,0,0,0.8,0.2,43,0,10460,cluster,0.0192,3,2.569,3,0.615823838447327,11.5,8.956,8,6.27375995715488,True,4,2.65925176946411,3,0.583015283971346,98.9000000000001,1.1,0
True,6,6.379,6,0.95360316694105,100,0,0,0.8,0.2,44,0,10460,cluster,0.0192,3,2.559,3,0.602095507374038,12,8.996,8,5.94541705854181,True,4,2.59879032258064,3,0.585715846472992,99.2000000000001,0.8,0
True,6,6.308,6,0.944,100,0,0,0.8,0.2,45,0,10460,cluster,0.0192,3,2.531,3,0.645785568126139,12,8.976,8,6.41228695552531,True,4,2.59656218402427,3,0.565281600257043,98.9000000000001,1.1,0
True,6,6.267,6,0.921797700149008,100,0,0,0.8,0.2,46,0,10460,cluster,0.0192,3,2.513,3,0.632321911687393,12,9.151,8,6.21065205916416,True,4,2.59233097880928,3,0.574694860849417,99.1000000000001,0.9,0
True,6,6.15,6,0.850588031893231,100,0,0,0.8,0.2,47,0,10460,cluster,0.0192,2,2.477,2,0.599559004602549,4,8.803,7,6.21547994928791,True,4,2.56294058408862,3,0.544417992121384,99.3000000000001,0.7,0
True,6,6.089,6,0.860859454266491,100,0,0,0.8,0.2,48,0,10460,cluster,0.0192,2,2.472,2,0.578978410651036,4,8.936,8,6.21577863183688,True,4,2.55161943319838,3,0.556855879517784,98.8000000000001,1.2,0
True,6,5.961,6,0.793397126286704,100,0,0,0.8,0.2,49,0,10460,cluster,0.0192,2,2.444,2,0.595704624793194,5,9.202,8,6.632435148571,True,3,2.51776649746193,2,0.53690132405404,98.5000000000001,1.5,0
True,6,5.948,6,0.783132172752467,100,0,0,0.8,0.2,50,0,10460,cluster,0.0192,2,2.448,2,0.601079029745673,5,9.235,8,6.55986089791544,True,3,2.5147507629705,2,0.555684682957684,98.3000000000001,1.7,0
False,,38.9541778975741,39,9.22965760904554,37.1,62.8000000000001,0.1,0.9,0.1,1,0,10460,cluster,0.0192,,19.2918287937743,17,9.31216367850983,,2.84630350194553,2,2.82252542238802,False,,29.0496613995485,28,12.3320232668345,44.3,55.6,0.1
True,48,36.9201331114809,37,9.73767119225661,60.1000000000001,39.8,0.1,0.9,0.1,2,0,10460,cluster,0.0192,25,14.8811274509804,13,8.49621234545432,2,2.89583333333333,2,3.12919244917709,True,34,26.465991316932,24,12.5259759504311,69.1000000000001,30.9,0
True,40,35.1538461538461,34,10.4071079723276,75.4000000000001,24.6,0,0.9,0.1,3,0,10460,cluster,0.0192,15,11.0440251572327,9,6.17903323527537,2,2.77253668763103,2,2.88958958102482,True,26,23.2451690821256,21,12.4236426603508,82.8000000000001,17.2,0
True,35,33.1321428571429,31.5,10.2847744692994,84.0000000000001,16,0,0.9,0.1,4,0,10460,cluster,0.0192,11,8.61600810536981,8,4.19188523164384,2,3.04660587639311,2,2.8967116404553,True,20,21.4620462046205,19,12.4789786098134,90.9000000000001,9.10000000000001,0
True,31,31.0485651214128,30,9.87526304646763,90.6000000000001,9.30000000000001,0.1,0.9,0.1,5,0,10460,cluster,0.0192,8,7.16833667334669,7,3.12814482064299,3,3.187374749499,3,2.84185030361206,True,17,18.3932702418507,16,11.1903949410861,95.1000000000001,4.9,0
True,27,28.9821052631579,27,9.65318032073933,95.0000000000001,5,0,0.9,0.1,6,0,10460,cluster,0.0192,6,6.26626626626627,6,2.26855008599454,3,3.57957957957958,3,2.95739236372458,True,14,15.8504098360656,13,10.3590342211988,97.6000000000001,2.4,0
True,26,27.2271325796506,25,8.95316141836194,97.3000000000001,2.7,0,0.9,0.1,7,0,10460,cluster,0.0192,6,5.62962962962963,5,1.83093289834478,4,3.93193193193193,3,3.15234970776585,True,12,13.8952668680765,12,9.46127463816219,99.3000000000001,0.7,0
True,25,25.7410440122825,25,8.29605004820739,97.7000000000001,2.3,0,0.9,0.1,8,0,10460,cluster,0.0192,5,5.247,5,1.58744795190268,4,4.198,4,3.03591765369221,True,9,12.1925403225806,10,8.45434994916169,99.2000000000001,0.8,0
True,23,24.4136178861789,22.5,8.3466960456446,98.4000000000001,1.6,0,0.9,0.1,9,0,10460,cluster,0.0192,5,4.971,5,1.40647040494992,4,4.559,4,3.26688215275666,True,7,10.8821752265861,8,8.05402293888034,99.3000000000001,0.7,0
True,21,22.6905241935484,21,7.62794039864111,99.2000000000001,0.8,0,0.9,0.1,10,0,10460,cluster,0.0192,5,4.692,5,1.34206408192754,5,4.713,4,3.2383068106651,True,6,9.42642642642643,7,7.15258707351309,99.9000000000001,0.1,0
True,20,22.0140421263791,21,7.0399207996131,99.7000000000001,0.3,0,0.9,0.1,11,0,10460,cluster,0.0192,4,4.446,4,1.24140404381491,4,5.035,4,3.66630263344422,True,6,8.29029029029029,6,6.15838790247685,99.9000000000001,0.1,0
True,19,20.874,19,7.23727324342532,100,0,0,0.9,0.1,12,0,10460,cluster,0.0192,4,4.295,4,1.13665078190269,5,5.111,4,3.68628254478682,True,5,7.34334334334334,6,5.30673106797971,99.9000000000001,0.1,0
True,18,19.399,18,6.52685215092237,100,0,0,0.9,0.1,13,0,10460,cluster,0.0192,4,4.122,4,1.05882765358674,5,5.652,5,4.00311079037291,True,5,6.47995991983968,5,4.61971674065896,99.8000000000001,0.2,0
